year,group_code,group_name,population_share,population,births,total_births,birth_share,birth_population_ratio,immigration_count,emigration_count,net_migration,net_migration_rate
2008,DANSK,Danish origin,0.9053953009401571,4985102,55921.0,65038.0,0.8598204126818167,0.9496629944831659,22781.0,23437.0,-656.0,-0.0001315920917967175
2008,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.09460469905984295,520893,9078.0,65038.0,0.13957993788246872,1.4754017429322017,50981.0,24734.0,26247.0,0.050388467497163525
2008,IND_ANDRE,Non-western immigrant origin,0.0636580672521497,350501,,,,,,,,
2008,IND_VEST,Western immigrant origin,0.03094663180769325,170392,,,,,,,,
2009,DANSK,Danish origin,0.9021758757429466,4991316,53346.0,62818.0,0.8492151930975198,0.9412967204406643,22411.0,21528.0,883.0,0.00017690725251617008
2009,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.09782412425705342,541215,9472.0,62818.0,0.15078480690248017,1.5413867289653567,46032.0,30460.0,15572.0,0.02877229936346923
2009,IND_ANDRE,Non-western immigrant origin,0.06523686898455698,360925,,,,,,,,
2009,IND_VEST,Western immigrant origin,0.03258725527249644,180290,,,,,,,,
2010,DANSK,Danish origin,0.899273243705275,4997899,53431.0,63411.0,0.8426140574979104,0.9369944712533514,21530.0,21871.0,-341.0,-6.822866968700248e-05
2010,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.10072675629472505,559810,9980.0,63411.0,0.15738594250208954,1.5625038300804657,47670.0,30226.0,17444.0,0.031160572337042926
2010,IND_ANDRE,Non-western immigrant origin,0.06673325285652776,370884,,,,,,,,
2010,IND_VEST,Western immigrant origin,0.033993503438197285,188926,,,,,,,,
2011,DANSK,Danish origin,0.8963916716434818,5001152,49307.0,58998.0,0.8357401945828672,0.9323381965950067,21264.0,22864.0,-1600.0,-0.0003199262889830183
2011,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.10360832835651823,578052,9691.0,58998.0,0.16425980541713278,1.5853919083793309,48858.0,32918.0,15940.0,0.0275753738417997
2011,IND_ANDRE,Non-western immigrant origin,0.06806974615016766,379775,,,,,,,,
2011,IND_VEST,Western immigrant origin,0.03553858220635058,198277,,,,,,,,
2012,DANSK,Danish origin,0.893357727649779,5002504,47810.0,57916.0,0.8255059051039436,0.9240485413112862,21879.0,22348.0,-469.0,-9.375304847332457e-05
2012,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.10664227235022095,597161,10106.0,57916.0,0.17449409489605636,1.636256346104527,50633.0,32559.0,18074.0,0.030266544533216335
2012,IND_ANDRE,Non-western immigrant origin,0.06924360653717677,387741,,,,,,,,
2012,IND_VEST,Western immigrant origin,0.03739866581304417,209420,,,,,,,,
2013,DANSK,Danish origin,0.889457119328333,5001863,45466.0,55873.0,0.8137382993574714,0.9148707471946033,22223.0,22343.0,-120.0,-2.3991060930697223e-05
2013,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.11054288067166698,621638,10407.0,55873.0,0.1862617006425286,1.684972379141816,56995.0,34073.0,22922.0,0.03687355020124252
2013,IND_ANDRE,Non-western immigrant origin,0.07125810060316518,400720,,,,,,,,
2013,IND_VEST,Western immigrant origin,0.039284780068501814,220918,,,,,,,,
2014,DANSK,Danish origin,0.8845346770985281,5002707,45616.0,56870.0,0.8021100756110427,0.9068158619197876,22016.0,21690.0,326.0,6.516471982068907e-05
2014,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.11546532290147196,653043,11254.0,56870.0,0.19788992438895728,1.7138472349643823,65547.0,37536.0,28011.0,0.04289304073391798
2014,IND_ANDRE,Non-western immigrant origin,0.0739654334084781,418330,,,,,,,,
2014,IND_VEST,Western immigrant origin,0.04149988949299386,234713,,,,,,,,
2015,DANSK,Danish origin,0.8779118896971866,5003413,46253.0,58205.0,0.7946568164247058,0.905166937309395,22549.0,21831.0,718.0,0.00014350204550373915
2015,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.12208811030281336,695807,11952.0,58205.0,0.2053431835752942,1.681926135689909,76323.0,34509.0,41814.0,0.06009425027342352
2015,IND_ANDRE,Non-western immigrant origin,0.07812998971789122,445280,,,,,,,,
2015,IND_VEST,Western immigrant origin,0.04395812058492215,250527,,,,,,,,
2016,DANSK,Danish origin,0.8715518822819703,5007524,48313.0,61614.0,0.7841237381114682,0.8996868161863291,22186.0,21544.0,642.0,0.00012820707399505225
2016,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.12844811771802964,738002,13301.0,61614.0,0.21587626188853182,1.6806494771875533,72179.0,39534.0,32645.0,0.044234297468028545
2016,IND_ANDRE,Non-western immigrant origin,0.08228454627130745,472768,,,,,,,,
2016,IND_VEST,Western immigrant origin,0.046163571446722194,265234,,,,,,,,
