year,group_code,group_name,income_dkk_per_person,total_income_thousand_dkk,income_gap_vs_danes,income_ratio_vs_danes,yoy_change_dkk,yoy_change_pct,rolling_3y_mean,base_year_index,real_income_dkk_per_person,group_encoded,population,population_share,immigrant_origin_population,immigrant_origin_share,income_share,contribution_index,birth_share,birth_population_ratio,immigration_count,emigration_count,net_migration,net_migration_rate
2008,DANSK,Danish origin,278181,1126308260,0,1.0,,,278181.0,100.0,373962.576848339,0,4985102,0.9053953009401571,520893,0.09460469905984295,0.9393487266732244,1.0375012170902702,0.8598204126818167,0.9496629944831659,22781.0,23437.0,-656.0,-0.0001315920917967175
2008,IND_ANDRE,Non-western immigrant origin,203562,42508659,74619,0.7317609757675758,,,203562.0,100.0,273651.22013509757,1,350501,0.0636580672521497,520893,0.09460469905984295,0.03545250986993232,0.5569209277043375,,,,,,
2008,IND_VEST,Western immigrant origin,268606,30214099,9575,0.9655799641240775,,,268606.0,100.0,361090.7715369667,2,170392,0.03094663180769325,520893,0.09460469905984295,0.02519876345684328,0.814265139205842,,,,,,
2009,DANSK,Danish origin,275083,1116504097,0,1.0,-3098.0,-1.113663406199561,276632.0,98.88633659380044,365035.2415052978,0,4991316,0.9021758757429466,541215,0.09782412425705342,0.9363301138024946,1.037857627296254,0.8492151930975198,0.9412967204406643,22411.0,21528.0,883.0,0.00017690725251617008
2009,IND_ANDRE,Non-western immigrant origin,206107,44016870,68976,0.7492538615617832,2545.0,1.2502333441408497,204834.5,101.25023334414085,273504.0643039825,1,360925,0.06523686898455698,541215,0.09782412425705342,0.0369137211471689,0.5658413979970007,,,,,,
2009,IND_VEST,Western immigrant origin,268692,31904739,6391,0.9767670121381546,86.0,0.03201715523852844,268649.0,100.03201715523853,356554.3821702594,2,180290,0.03258725527249644,541215,0.09782412425705342,0.026756165050336476,0.8210622473908876,,,,,,
2010,DANSK,Danish origin,286902,1169515423,0,1.0,11819.0,4.296521413537002,280055.3333333333,103.13500922061536,372119.65503080084,0,4997899,0.899273243705275,559810,0.10072675629472504,0.9359046708444714,1.0407344790869837,0.8426140574979104,0.9369944712533514,21530.0,21871.0,-341.0,-6.822866968700248e-05
2010,IND_ANDRE,Non-western immigrant origin,202182,45771191,84720,0.7047075307944873,-3925.0,-1.9043506528162557,203950.33333333334,99.32207386447372,262235.52325685206,1,370884,0.06673325285652776,559810,0.10072675629472504,0.036628393781357106,0.548877691607598,,,,,,
2010,IND_VEST,Western immigrant origin,257185,34322945,29717,0.8964210775804978,-11507.0,-4.2825986631533475,264827.6666666667,95.74804732582295,333575.9021515936,2,188926,0.033993503438197285,559810,0.10072675629472504,0.027466935374171542,0.8080054303349012,,,,,,
2011,DANSK,Danish origin,290730,1188795160,0,1.0,3828.0,1.3342535081665607,284238.3333333333,104.51109169928931,366961.37619461335,0,5001152,0.8963916716434818,578052,0.10360832835651825,0.9343340216149797,1.0423278698048732,0.8357401945828672,0.9323381965950067,21264.0,22864.0,-1600.0,-0.0003199262889830183
2011,IND_ANDRE,Non-western immigrant origin,204460,47396171,86270,0.7032641970212913,2278.0,1.1267076198672399,204249.66666666666,100.44114323891493,258070.79756733272,1,379775,0.06806974615016766,578052,0.10360832835651825,0.03725103916101179,0.5472480987196988,,,,,,
2011,IND_VEST,Western immigrant origin,259082,36153604,31648,0.8911429849000791,1897.0,0.7376013375585577,261653.0,96.45428620358443,327015.05612510856,2,198277,0.03553858220635058,578052,0.10360832835651825,0.028414939224008465,0.799551852097545,,,,,,
2012,DANSK,Danish origin,297171,1218893073,0,1.0,6441.0,2.2154576411103077,291601.0,106.82649066614903,366307.5078907178,0,5002504,0.893357727649779,597161,0.10664227235022095,0.9322957309590916,1.0435861269278428,0.8255059051039436,0.9240485413112862,21879.0,22348.0,-469.0,-9.375304847332457e-05
2012,IND_ANDRE,Non-western immigrant origin,210704,50061491,86467,0.7090328464082969,6244.0,3.053898072972716,205782.0,103.50851337675991,259724.05498048535,1,387741,0.06924360653717677,597161,0.10664227235022095,0.038290573126217926,0.552983517773006,,,,,,
2012,IND_VEST,Western immigrant origin,261652,38455770,35519,0.8804762241268496,2570.0,0.9919639341984476,259306.33333333334,97.41107793571253,322525.0514169354,2,209420,0.03739866581304417,597161,0.10664227235022095,0.029413695914690546,0.7864905144405293,,,,,,
2013,DANSK,Danish origin,302907,1245778850,0,1.0,5736.0,1.9302018030023183,296936.0,108.88845751507112,370454.8275107332,0,5001863,0.889457119328333,621638,0.110542880671667,0.9296284715914774,1.0451638998555428,0.8137382993574714,0.9148707471946033,22223.0,22343.0,-120.0,-2.3991060930697223e-05
2013,IND_ANDRE,Non-western immigrant origin,214050,51930870,88857,0.7066525369172716,3346.0,1.5880097197964904,209738.0,105.1522386299997,261782.8436737099,1,400720,0.07125810060316518,621638,0.110542880671667,0.03875199463092162,0.5438258149305809,,,,,,
2013,IND_VEST,Western immigrant origin,268201,42372784,34706,0.8854235788542358,6549.0,2.5029428401082354,262978.3333333333,99.8492215363767,328009.439178382,2,220918,0.039284780068501814,621638,0.110542880671667,0.031619533777600906,0.8048799998998382,,,,,,
2014,DANSK,Danish origin,308048,1270433263,0,1.0,5141.0,1.6972205990617661,302708.6666666667,110.73653484601753,374629.2770801942,0,5002707,0.8845346770985281,653043,0.11546532290147195,0.9269481829832442,1.0479500770098036,0.8021100756110427,0.9068158619197876,22016.0,21690.0,326.0,6.516471982068907e-05
2014,IND_ANDRE,Non-western immigrant origin,218910,54963301,89138,0.7106360047784761,4860.0,2.2704975473020417,214554.66666666666,107.53971762902704,266225.0527373179,1,418330,0.0739654334084781,653043,0.11546532290147195,0.04010295816121994,0.5421851304480187,,,,,,
