year,group_code,group_name,population,total_population,population_share,immigrant_origin_population,immigrant_origin_share
2008,DANSK,Danish origin,4985102,5505995,0.9053953009401571,520893,0.09460469905984295
2008,IND_ANDRE,Non-western immigrant origin,350501,5505995,0.0636580672521497,520893,0.09460469905984295
2008,IND_VEST,Western immigrant origin,170392,5505995,0.03094663180769325,520893,0.09460469905984295
2009,DANSK,Danish origin,4991316,5532531,0.9021758757429466,541215,0.09782412425705342
2009,IND_ANDRE,Non-western immigrant origin,360925,5532531,0.06523686898455698,541215,0.09782412425705342
2009,IND_VEST,Western immigrant origin,180290,5532531,0.03258725527249644,541215,0.09782412425705342
2010,DANSK,Danish origin,4997899,5557709,0.899273243705275,559810,0.10072675629472504
2010,IND_ANDRE,Non-western immigrant origin,370884,5557709,0.06673325285652776,559810,0.10072675629472504
2010,IND_VEST,Western immigrant origin,188926,5557709,0.033993503438197285,559810,0.10072675629472504
2011,DANSK,Danish origin,5001152,5579204,0.8963916716434818,578052,0.10360832835651825
2011,IND_ANDRE,Non-western immigrant origin,379775,5579204,0.06806974615016766,578052,0.10360832835651825
2011,IND_VEST,Western immigrant origin,198277,5579204,0.03553858220635058,578052,0.10360832835651825
2012,DANSK,Danish origin,5002504,5599665,0.893357727649779,597161,0.10664227235022095
2012,IND_ANDRE,Non-western immigrant origin,387741,5599665,0.06924360653717677,597161,0.10664227235022095
2012,IND_VEST,Western immigrant origin,209420,5599665,0.03739866581304417,597161,0.10664227235022095
2013,DANSK,Danish origin,5001863,5623501,0.889457119328333,621638,0.110542880671667
2013,IND_ANDRE,Non-western immigrant origin,400720,5623501,0.07125810060316518,621638,0.110542880671667
2013,IND_VEST,Western immigrant origin,220918,5623501,0.039284780068501814,621638,0.110542880671667
2014,DANSK,Danish origin,5002707,5655750,0.8845346770985281,653043,0.11546532290147195
2014,IND_ANDRE,Non-western immigrant origin,418330,5655750,0.0739654334084781,653043,0.11546532290147195
2014,IND_VEST,Western immigrant origin,234713,5655750,0.04149988949299386,653043,0.11546532290147195
2015,DANSK,Danish origin,5003413,5699220,0.8779118896971866,695807,0.12208811030281337
2015,IND_ANDRE,Non-western immigrant origin,445280,5699220,0.07812998971789122,695807,0.12208811030281337
2015,IND_VEST,Western immigrant origin,250527,5699220,0.04395812058492215,695807,0.12208811030281337
2016,DANSK,Danish origin,5007524,5745526,0.8715518822819703,738002,0.12844811771802964
2016,IND_ANDRE,Non-western immigrant origin,472768,5745526,0.08228454627130745,738002,0.12844811771802964
2016,IND_VEST,Western immigrant origin,265234,5745526,0.046163571446722194,738002,0.12844811771802964
2017,DANSK,Danish origin,5010295,5778570,0.8670475567484689,768275,0.13295244325153108
2017,IND_ANDRE,Non-western immigrant origin,490966,5778570,0.08496323484876016,768275,0.13295244325153108
2017,IND_VEST,Western immigrant origin,277309,5778570,0.047989208402770926,768275,0.13295244325153108
2018,DANSK,Danish origin,5012578,5806015,0.8633422407623818,793437,0.13665775923761822
2018,IND_ANDRE,Non-western immigrant origin,505091,5806015,0.08699443594272492,793437,0.13665775923761822
2018,IND_VEST,Western immigrant origin,288346,5806015,0.04966332329489331,793437,0.13665775923761822
2019,DANSK,Danish origin,5016019,5827463,0.8607551862620149,811444,0.1392448137379851
2019,IND_ANDRE,Non-western immigrant origin,516115,5827463,0.08856598488913615,811444,0.1392448137379851
2019,IND_VEST,Western immigrant origin,295329,5827463,0.05067882884884898,811444,0.1392448137379851
2020,DANSK,Danish origin,5022725,5837213,0.8604662875930689,814488,0.1395337124069312
2020,IND_ANDRE,Non-western immigrant origin,521392,5837213,0.08932207887565521,814488,0.1395337124069312
2020,IND_VEST,Western immigrant origin,293096,5837213,0.05021163353127597,814488,0.1395337124069312
2021,DANSK,Danish origin,5027581,5867412,0.8568651732654874,839831,0.14313482673451258
2021,IND_ANDRE,Non-western immigrant origin,531637,5867412,0.09060843179241547,839831,0.14313482673451258
2021,IND_VEST,Western immigrant origin,308194,5867412,0.05252639494209713,839831,0.14313482673451258
2022,DANSK,Danish origin,5024352,5928364,0.8475107129049431,904012,0.1524892870950569
2022,IND_ANDRE,Non-western immigrant origin,574641,5928364,0.09693078900013562,904012,0.1524892870950569
2022,IND_VEST,Western immigrant origin,329371,5928364,0.0555584980949213,904012,0.1524892870950569
2023,DANSK,Danish origin,5020771,5959464,0.8424870088987869,938693,0.15751299110121314
2023,IND_ANDRE,Non-western immigrant origin,596190,5959464,0.10004087615933245,938693,0.15751299110121314
2023,IND_VEST,Western immigrant origin,342503,5959464,0.05747211494188068,938693,0.15751299110121314
2024,DANSK,Danish origin,5017109,5989985,0.8375828987885613,972876,0.16241710121143876
2024,IND_ANDRE,Non-western immigrant origin,620738,5989985,0.10362930791980281,972876,0.16241710121143876
2024,IND_VEST,Western immigrant origin,352138,5989985,0.058787793291635956,972876,0.16241710121143876
2025,DANSK,Danish origin,5016351,6019866,0.8332994455358309,1003515,0.16670055446416915
2025,IND_ANDRE,Non-western immigrant origin,645433,6019866,0.10721717061476119,1003515,0.16670055446416915
2025,IND_VEST,Western immigrant origin,358082,6019866,0.05948338384940794,1003515,0.16670055446416915
