year,mother_group_code,mother_group_name,births
2007,DANSK,Mother of Danish origin,55436
2007,DESCENDANT_MOTHER,Descendant mother,875
2007,IMMIGRANT_MOTHER,Immigrant mother,7770
2007,UNKNOWN,Unknown mother origin,1
2008,DANSK,Mother of Danish origin,55921
2008,DESCENDANT_MOTHER,Descendant mother,924
2008,IMMIGRANT_MOTHER,Immigrant mother,8154
2008,UNKNOWN,Unknown mother origin,39
2009,DANSK,Mother of Danish origin,53346
2009,DESCENDANT_MOTHER,Descendant mother,1061
2009,IMMIGRANT_MOTHER,Immigrant mother,8411
2010,DANSK,Mother of Danish origin,53431
2010,DESCENDANT_MOTHER,Descendant mother,1149
2010,IMMIGRANT_MOTHER,Immigrant mother,8831
2011,DANSK,Mother of Danish origin,49307
2011,DESCENDANT_MOTHER,Descendant mother,1109
2011,IMMIGRANT_MOTHER,Immigrant mother,8582
2012,DANSK,Mother of Danish origin,47810
2012,DESCENDANT_MOTHER,Descendant mother,1331
2012,IMMIGRANT_MOTHER,Immigrant mother,8775
2013,DANSK,Mother of Danish origin,45466
2013,DESCENDANT_MOTHER,Descendant mother,1394
2013,IMMIGRANT_MOTHER,Immigrant mother,9013
2014,DANSK,Mother of Danish origin,45616
2014,DESCENDANT_MOTHER,Descendant mother,1523
2014,IMMIGRANT_MOTHER,Immigrant mother,9731
2015,DANSK,Mother of Danish origin,46253
2015,DESCENDANT_MOTHER,Descendant mother,1726
2015,IMMIGRANT_MOTHER,Immigrant mother,10226
2016,DANSK,Mother of Danish origin,48313
2016,DESCENDANT_MOTHER,Descendant mother,1916
2016,IMMIGRANT_MOTHER,Immigrant mother,11385
2017,DANSK,Mother of Danish origin,47771
2017,DESCENDANT_MOTHER,Descendant mother,2005
2017,IMMIGRANT_MOTHER,Immigrant mother,11621
2018,DANSK,Mother of Danish origin,47837
2018,DESCENDANT_MOTHER,Descendant mother,2135
2018,IMMIGRANT_MOTHER,Immigrant mother,11504
2019,DANSK,Mother of Danish origin,47763
2019,DESCENDANT_MOTHER,Descendant mother,2193
2019,IMMIGRANT_MOTHER,Immigrant mother,11211
2020,DANSK,Mother of Danish origin,47796
2020,DESCENDANT_MOTHER,Descendant mother,2413
2020,IMMIGRANT_MOTHER,Immigrant mother,10728
2021,DANSK,Mother of Danish origin,49996
2021,DESCENDANT_MOTHER,Descendant mother,2528
2021,IMMIGRANT_MOTHER,Immigrant mother,10949
2022,DANSK,Mother of Danish origin,45922
2022,DESCENDANT_MOTHER,Descendant mother,2469
2022,IMMIGRANT_MOTHER,Immigrant mother,10039
2023,DANSK,Mother of Danish origin,44868
2023,DESCENDANT_MOTHER,Descendant mother,2682
2023,IMMIGRANT_MOTHER,Immigrant mother,9919
2024,DANSK,Mother of Danish origin,44092
2024,DESCENDANT_MOTHER,Descendant mother,2790
2024,IMMIGRANT_MOTHER,Immigrant mother,10197
2025,DANSK,Mother of Danish origin,46049
2025,DESCENDANT_MOTHER,Descendant mother,3056
2025,IMMIGRANT_MOTHER,Immigrant mother,10338
