year,group_code,group_name,population
2008,DANSK,Danish origin,4985102
2008,IND_ANDRE,Non-western immigrant origin,350501
2008,IND_VEST,Western immigrant origin,170392
2009,DANSK,Danish origin,4991316
2009,IND_ANDRE,Non-western immigrant origin,360925
2009,IND_VEST,Western immigrant origin,180290
2010,DANSK,Danish origin,4997899
2010,IND_ANDRE,Non-western immigrant origin,370884
2010,IND_VEST,Western immigrant origin,188926
2011,DANSK,Danish origin,5001152
2011,IND_ANDRE,Non-western immigrant origin,379775
2011,IND_VEST,Western immigrant origin,198277
2012,DANSK,Danish origin,5002504
2012,IND_ANDRE,Non-western immigrant origin,387741
2012,IND_VEST,Western immigrant origin,209420
2013,DANSK,Danish origin,5001863
2013,IND_ANDRE,Non-western immigrant origin,400720
2013,IND_VEST,Western immigrant origin,220918
2014,DANSK,Danish origin,5002707
2014,IND_ANDRE,Non-western immigrant origin,418330
2014,IND_VEST,Western immigrant origin,234713
2015,DANSK,Danish origin,5003413
2015,IND_ANDRE,Non-western immigrant origin,445280
2015,IND_VEST,Western immigrant origin,250527
2016,DANSK,Danish origin,5007524
2016,IND_ANDRE,Non-western immigrant origin,472768
2016,IND_VEST,Western immigrant origin,265234
2017,DANSK,Danish origin,5010295
2017,IND_ANDRE,Non-western immigrant origin,490966
2017,IND_VEST,Western immigrant origin,277309
2018,DANSK,Danish origin,5012578
2018,IND_ANDRE,Non-western immigrant origin,505091
2018,IND_VEST,Western immigrant origin,288346
2019,DANSK,Danish origin,5016019
2019,IND_ANDRE,Non-western immigrant origin,516115
2019,IND_VEST,Western immigrant origin,295329
2020,DANSK,Danish origin,5022725
2020,IND_ANDRE,Non-western immigrant origin,521392
2020,IND_VEST,Western immigrant origin,293096
2021,DANSK,Danish origin,5027581
2021,IND_ANDRE,Non-western immigrant origin,531637
2021,IND_VEST,Western immigrant origin,308194
2022,DANSK,Danish origin,5024352
2022,IND_ANDRE,Non-western immigrant origin,574641
2022,IND_VEST,Western immigrant origin,329371
2023,DANSK,Danish origin,5020771
2023,IND_ANDRE,Non-western immigrant origin,596190
2023,IND_VEST,Western immigrant origin,342503
2024,DANSK,Danish origin,5017109
2024,IND_ANDRE,Non-western immigrant origin,620738
2024,IND_VEST,Western immigrant origin,352138
2025,DANSK,Danish origin,5016351
2025,IND_ANDRE,Non-western immigrant origin,645433
2025,IND_VEST,Western immigrant origin,358082
