OMRÅDE;MOHERK;MOOPRIND;MOSTAT;MODERSALDER;BARNKON;TID;INDHOLD
000;4;5418;5418;28;P;2014;3
000;4;5418;5418;29;D;2014;2
000;4;5418;5418;29;P;2014;1
000;4;5418;5418;30;D;2014;2
000;4;5418;5418;30;P;2014;4
000;4;5418;5418;31;D;2014;2
000;4;5418;5418;31;P;2014;1
000;4;5418;5418;32;D;2014;4
000;4;5418;5418;32;P;2014;4
000;4;5418;5418;33;D;2014;2
000;4;5418;5418;33;P;2014;3
000;4;5418;5418;34;D;2014;2
000;4;5418;5418;34;P;2014;1
000;4;5418;5418;35;P;2014;1
000;4;5418;5418;36;D;2014;1
000;3;5418;5100;24;D;2014;2
000;3;5418;5100;25;D;2014;1
000;3;5418;5100;26;P;2014;1
000;3;5418;5100;31;P;2014;1
000;3;5432;5100;24;P;2014;1
000;3;5432;5100;28;D;2014;1
000;3;5432;5100;29;D;2014;2
000;3;5432;5100;29;P;2014;1
000;3;5432;5100;31;P;2014;1
000;3;5432;5100;33;D;2014;1
000;3;5432;5100;34;P;2014;1
000;3;5432;5100;35;D;2014;2
000;3;5432;5100;35;P;2014;2
000;3;5432;5100;36;D;2014;2
000;3;5432;5100;37;P;2014;1
000;4;5390;5390;39;D;2008;2
000;4;5700;5700;46;D;2008;1
000;4;5289;5289;23;P;2008;5
000;4;5436;5436;22;D;2008;11
000;4;5458;5502;30;D;2008;1
000;4;5436;5100;34;P;2008;6
000;4;5314;5314;38;D;2008;1
000;4;5756;5756;41;P;2008;2
000;3;5244;5100;28;P;2008;4
000;4;5246;5246;27;D;2008;3
000;4;5244;5244;33;D;2008;3
000;4;5354;5354;34;P;2008;3
000;4;5232;5232;39;D;2008;1
000;5;5100;5100;47;P;2008;3
000;4;5472;5100;33;D;2008;3
000;4;5468;5468;31;P;2008;4
000;4;5492;5492;36;D;2008;7
000;4;5172;5100;27;D;2008;10
000;3;5172;5100;22;D;2008;11
000;4;5438;5100;23;D;2008;1
000;4;5700;5100;39;P;2008;1
000;4;5120;5120;26;D;2008;6
000;4;5244;5244;32;D;2008;5
000;4;5436;5436;24;P;2008;9
000;4;5105;5105;29;P;2008;7
