OMRÅDE;KØN;ALDER;HERKOMST;TID;INDHOLD
000;TOT;IALT;1;2008K4;4985102
000;TOT;IALT;1;2009K4;4991316
000;TOT;IALT;1;2010K4;4997899
000;TOT;IALT;1;2011K4;5001152
000;TOT;IALT;1;2012K4;5002504
000;TOT;IALT;1;2013K4;5001863
000;TOT;IALT;1;2014K4;5002707
000;TOT;IALT;1;2015K4;5003413
000;TOT;IALT;1;2016K4;5007524
000;TOT;IALT;1;2017K4;5010295
000;TOT;IALT;1;2018K4;5012578
000;TOT;IALT;1;2019K4;5016019
000;TOT;IALT;1;2020K4;5022725
000;TOT;IALT;1;2021K4;5027581
000;TOT;IALT;1;2022K4;5024352
000;TOT;IALT;1;2023K4;5020771
000;TOT;IALT;1;2024K4;5017109
000;TOT;IALT;1;2025K4;5016351
000;TOT;IALT;24;2008K4;154002
000;TOT;IALT;24;2009K4;163135
000;TOT;IALT;24;2010K4;170950
000;TOT;IALT;24;2011K4;179090
000;TOT;IALT;24;2012K4;189141
000;TOT;IALT;24;2013K4;199217
000;TOT;IALT;24;2014K4;211595
000;TOT;IALT;24;2015K4;225701
000;TOT;IALT;24;2016K4;238564
000;TOT;IALT;24;2017K4;248752
000;TOT;IALT;24;2018K4;257938
000;TOT;IALT;24;2019K4;262968
000;TOT;IALT;24;2020K4;259018
000;TOT;IALT;24;2021K4;272311
000;TOT;IALT;24;2022K4;290907
000;TOT;IALT;24;2023K4;302487
000;TOT;IALT;24;2024K4;310495
000;TOT;IALT;24;2025K4;314863
000;TOT;IALT;25;2008K4;243940
000;TOT;IALT;25;2009K4;250436
000;TOT;IALT;25;2010K4;256431
000;TOT;IALT;25;2011K4;261337
000;TOT;IALT;25;2012K4;265155
000;TOT;IALT;25;2013K4;273695
000;TOT;IALT;25;2014K4;286659
000;TOT;IALT;25;2015K4;308522
000;TOT;IALT;25;2016K4;330388
000;TOT;IALT;25;2017K4;342686
000;TOT;IALT;25;2018K4;351182
000;TOT;IALT;25;2019K4;357201
000;TOT;IALT;25;2020K4;357436
000;TOT;IALT;25;2021K4;362851
000;TOT;IALT;25;2022K4;401438
000;TOT;IALT;25;2023K4;419163
000;TOT;IALT;25;2024K4;439573
000;TOT;IALT;25;2025K4;460105
000;TOT;IALT;34;2008K4;16390
000;TOT;IALT;34;2009K4;17155
000;TOT;IALT;34;2010K4;17976
000;TOT;IALT;34;2011K4;19187
000;TOT;IALT;34;2012K4;20279
000;TOT;IALT;34;2013K4;21701
000;TOT;IALT;34;2014K4;23118
000;TOT;IALT;34;2015K4;24826
000;TOT;IALT;34;2016K4;26670
000;TOT;IALT;34;2017K4;28557
000;TOT;IALT;34;2018K4;30408
000;TOT;IALT;34;2019K4;32361
000;TOT;IALT;34;2020K4;34078
000;TOT;IALT;34;2021K4;35883
000;TOT;IALT;34;2022K4;38464
000;TOT;IALT;34;2023K4;40016
000;TOT;IALT;34;2024K4;41643
000;TOT;IALT;34;2025K4;43219
000;TOT;IALT;35;2008K4;106561
000;TOT;IALT;35;2009K4;110489
000;TOT;IALT;35;2010K4;114453
000;TOT;IALT;35;2011K4;118438
000;TOT;IALT;35;2012K4;122586
000;TOT;IALT;35;2013K4;127025
000;TOT;IALT;35;2014K4;131671
000;TOT;IALT;35;2015K4;136758
000;TOT;IALT;35;2016K4;142380
000;TOT;IALT;35;2017K4;148280
000;TOT;IALT;35;2018K4;153909
000;TOT;IALT;35;2019K4;158914
000;TOT;IALT;35;2020K4;163956
000;TOT;IALT;35;2021K4;168786
000;TOT;IALT;35;2022K4;173203
000;TOT;IALT;35;2023K4;177027
000;TOT;IALT;35;2024K4;181165
000;TOT;IALT;35;2025K4;185328
