REGLAND;ENHED;KOEN;ALDER1;HERKOMST;INDKOMSTTYPE;TID;INDHOLD
000;121;MOK;TOT;DANSK;105;2008;278181
000;121;MOK;TOT;DANSK;105;2009;275083
000;121;MOK;TOT;DANSK;105;2010;286902
000;121;MOK;TOT;DANSK;105;2011;290730
000;121;MOK;TOT;DANSK;105;2012;297171
000;121;MOK;TOT;DANSK;105;2013;302907
000;121;MOK;TOT;DANSK;105;2014;308048
000;121;MOK;TOT;DANSK;105;2015;318133
000;121;MOK;TOT;DANSK;105;2016;323890
000;121;MOK;TOT;DANSK;105;2017;332109
000;121;MOK;TOT;DANSK;105;2018;338202
000;121;MOK;TOT;DANSK;105;2019;350448
000;121;MOK;TOT;DANSK;105;2020;366762
000;121;MOK;TOT;DANSK;105;2021;384704
000;121;MOK;TOT;DANSK;105;2022;382655
000;121;MOK;TOT;DANSK;105;2023;407344
000;121;MOK;TOT;DANSK;105;2024;427473
000;121;MOK;TOT;IND_VEST;105;2008;268606
000;121;MOK;TOT;IND_VEST;105;2009;268692
000;121;MOK;TOT;IND_VEST;105;2010;257185
000;121;MOK;TOT;IND_VEST;105;2011;259082
000;121;MOK;TOT;IND_VEST;105;2012;261652
000;121;MOK;TOT;IND_VEST;105;2013;268201
000;121;MOK;TOT;IND_VEST;105;2014;273514
000;121;MOK;TOT;IND_VEST;105;2015;286186
000;121;MOK;TOT;IND_VEST;105;2016;284753
000;121;MOK;TOT;IND_VEST;105;2017;292082
000;121;MOK;TOT;IND_VEST;105;2018;299039
000;121;MOK;TOT;IND_VEST;105;2019;314308
000;121;MOK;TOT;IND_VEST;105;2020;337682
000;121;MOK;TOT;IND_VEST;105;2021;357189
000;121;MOK;TOT;IND_VEST;105;2022;371688
000;121;MOK;TOT;IND_VEST;105;2023;418521
000;121;MOK;TOT;IND_VEST;105;2024;429375
000;121;MOK;TOT;IND_ANDRE;105;2008;203562
000;121;MOK;TOT;IND_ANDRE;105;2009;206107
000;121;MOK;TOT;IND_ANDRE;105;2010;202182
000;121;MOK;TOT;IND_ANDRE;105;2011;204460
000;121;MOK;TOT;IND_ANDRE;105;2012;210704
000;121;MOK;TOT;IND_ANDRE;105;2013;214050
000;121;MOK;TOT;IND_ANDRE;105;2014;218910
000;121;MOK;TOT;IND_ANDRE;105;2015;224552
000;121;MOK;TOT;IND_ANDRE;105;2016;225889
000;121;MOK;TOT;IND_ANDRE;105;2017;230158
000;121;MOK;TOT;IND_ANDRE;105;2018;240865
000;121;MOK;TOT;IND_ANDRE;105;2019;253978
000;121;MOK;TOT;IND_ANDRE;105;2020;269695
000;121;MOK;TOT;IND_ANDRE;105;2021;288175
000;121;MOK;TOT;IND_ANDRE;105;2022;299944
000;121;MOK;TOT;IND_ANDRE;105;2023;319747
000;121;MOK;TOT;IND_ANDRE;105;2024;334282
000;110;MOK;TOT;DANSK;105;2008;1126308260
000;110;MOK;TOT;DANSK;105;2009;1116504097
000;110;MOK;TOT;DANSK;105;2010;1169515423
000;110;MOK;TOT;DANSK;105;2011;1188795160
000;110;MOK;TOT;DANSK;105;2012;1218893073
000;110;MOK;TOT;DANSK;105;2013;1245778850
000;110;MOK;TOT;DANSK;105;2014;1270433263
000;110;MOK;TOT;DANSK;105;2015;1314994558
000;110;MOK;TOT;DANSK;105;2016;1338489674
000;110;MOK;TOT;DANSK;105;2017;1377866526
000;110;MOK;TOT;DANSK;105;2018;1405137615
000;110;MOK;TOT;DANSK;105;2019;1458949004
000;110;MOK;TOT;DANSK;105;2020;1528207343
000;110;MOK;TOT;DANSK;105;2021;1603382398
000;110;MOK;TOT;DANSK;105;2022;1602571999
000;110;MOK;TOT;DANSK;105;2023;1710288793
000;110;MOK;TOT;DANSK;105;2024;1798944709
000;110;MOK;TOT;IND_VEST;105;2008;30214099
000;110;MOK;TOT;IND_VEST;105;2009;31904739
000;110;MOK;TOT;IND_VEST;105;2010;34322945
000;110;MOK;TOT;IND_VEST;105;2011;36153604
000;110;MOK;TOT;IND_VEST;105;2012;38455770
000;110;MOK;TOT;IND_VEST;105;2013;42372784
000;110;MOK;TOT;IND_VEST;105;2014;45158216
000;110;MOK;TOT;IND_VEST;105;2015;50403304
000;110;MOK;TOT;IND_VEST;105;2016;53229139
000;110;MOK;TOT;IND_VEST;105;2017;57542259
000;110;MOK;TOT;IND_VEST;105;2018;61474710
000;110;MOK;TOT;IND_VEST;105;2019;66246130
000;110;MOK;TOT;IND_VEST;105;2020;73305274
000;110;MOK;TOT;IND_VEST;105;2021;80632533
000;110;MOK;TOT;IND_VEST;105;2022;88998581
000;110;MOK;TOT;IND_VEST;105;2023;100335782
000;110;MOK;TOT;IND_VEST;105;2024;106950782
000;110;MOK;TOT;IND_ANDRE;105;2008;42508659
000;110;MOK;TOT;IND_ANDRE;105;2009;44016870
000;110;MOK;TOT;IND_ANDRE;105;2010;45771191
000;110;MOK;TOT;IND_ANDRE;105;2011;47396171
000;110;MOK;TOT;IND_ANDRE;105;2012;50061491
000;110;MOK;TOT;IND_ANDRE;105;2013;51930870
000;110;MOK;TOT;IND_ANDRE;105;2014;54963301
000;110;MOK;TOT;IND_ANDRE;105;2015;59223448
000;110;MOK;TOT;IND_ANDRE;105;2016;63326397
000;110;MOK;TOT;IND_ANDRE;105;2017;67781050
000;110;MOK;TOT;IND_ANDRE;105;2018;72948440
000;110;MOK;TOT;IND_ANDRE;105;2019;78289899
000;110;MOK;TOT;IND_ANDRE;105;2020;84895110
000;110;MOK;TOT;IND_ANDRE;105;2021;92421858
000;110;MOK;TOT;IND_ANDRE;105;2022;99130378
000;110;MOK;TOT;IND_ANDRE;105;2023;111789153
000;110;MOK;TOT;IND_ANDRE;105;2024;123493033
