VAREGR;ENHED;TID;INDHOLD
000000;100;2001M01;76,7
000000;100;2001M02;77,3
000000;100;2001M03;77,7
000000;100;2001M04;78,0
000000;100;2001M05;78,4
000000;100;2001M06;78,3
000000;100;2001M07;78,1
000000;100;2001M08;78,1
000000;100;2001M09;78,4
000000;100;2001M10;78,5
000000;100;2001M11;78,3
000000;100;2001M12;78,5
000000;100;2002M01;78,6
000000;100;2002M02;79,2
000000;100;2002M03;79,7
000000;100;2002M04;80,0
000000;100;2002M05;80,0
000000;100;2002M06;80,0
000000;100;2002M07;79,8
000000;100;2002M08;79,9
000000;100;2002M09;80,3
000000;100;2002M10;80,5
000000;100;2002M11;80,5
000000;100;2002M12;80,5
000000;100;2003M01;80,6
000000;100;2003M02;81,4
000000;100;2003M03;82,0
000000;100;2003M04;81,9
000000;100;2003M05;81,8
000000;100;2003M06;81,8
000000;100;2003M07;81,3
000000;100;2003M08;81,3
000000;100;2003M09;81,8
000000;100;2003M10;81,6
000000;100;2003M11;81,8
000000;100;2003M12;81,6
000000;100;2004M01;81,6
000000;100;2004M02;82,2
000000;100;2004M03;82,5
000000;100;2004M04;82,6
000000;100;2004M05;82,9
000000;100;2004M06;82,7
000000;100;2004M07;82,4
000000;100;2004M08;82,2
000000;100;2004M09;82,7
000000;100;2004M10;83,0
000000;100;2004M11;82,8
000000;100;2004M12;82,6
000000;100;2005M01;82,4
000000;100;2005M02;83,2
000000;100;2005M03;83,7
000000;100;2005M04;84,1
000000;100;2005M05;84,1
000000;100;2005M06;84,2
000000;100;2005M07;84,1
000000;100;2005M08;84,1
000000;100;2005M09;84,7
000000;100;2005M10;84,7
000000;100;2005M11;84,4
000000;100;2005M12;84,5
000000;100;2006M01;84,2
000000;100;2006M02;85,0
000000;100;2006M03;85,3
000000;100;2006M04;85,7
000000;100;2006M05;85,8
000000;100;2006M06;86,0
000000;100;2006M07;85,8
000000;100;2006M08;85,8
000000;100;2006M09;86,1
000000;100;2006M10;86,0
000000;100;2006M11;85,9
000000;100;2006M12;86,0
000000;100;2007M01;85,7
000000;100;2007M02;86,6
000000;100;2007M03;87,0
000000;100;2007M04;87,1
000000;100;2007M05;87,3
000000;100;2007M06;87,2
000000;100;2007M07;86,8
000000;100;2007M08;86,6
000000;100;2007M09;87,2
000000;100;2007M10;87,5
000000;100;2007M11;88,0
000000;100;2007M12;88,0
000000;100;2008M01;88,2
000000;100;2008M02;89,3
000000;100;2008M03;89,7
000000;100;2008M04;90,0
000000;100;2008M05;90,3
000000;100;2008M06;90,5
000000;100;2008M07;90,3
000000;100;2008M08;90,4
000000;100;2008M09;90,8
000000;100;2008M10;90,7
000000;100;2008M11;90,4
000000;100;2008M12;90,1
000000;100;2009M01;89,8
000000;100;2009M02;90,9
000000;100;2009M03;91,2
000000;100;2009M04;91,1
000000;100;2009M05;91,4
000000;100;2009M06;91,6
000000;100;2009M07;91,2
000000;100;2009M08;91,4
000000;100;2009M09;91,6
000000;100;2009M10;91,6
000000;100;2009M11;91,6
000000;100;2009M12;91,4
000000;100;2010M01;91,6
000000;100;2010M02;92,7
000000;100;2010M03;93,3
000000;100;2010M04;93,4
000000;100;2010M05;93,4
000000;100;2010M06;93,3
000000;100;2010M07;93,2
000000;100;2010M08;93,6
000000;100;2010M09;93,9
000000;100;2010M10;93,8
000000;100;2010M11;93,9
000000;100;2010M12;94,0
000000;100;2011M01;94,1
000000;100;2011M02;95,2
000000;100;2011M03;95,8
000000;100;2011M04;96,2
000000;100;2011M05;96,3
000000;100;2011M06;96,1
000000;100;2011M07;96,0
000000;100;2011M08;96,0
000000;100;2011M09;96,3
000000;100;2011M10;96,4
000000;100;2011M11;96,3
000000;100;2011M12;96,3
000000;100;2012M01;96,7
000000;100;2012M02;97,8
000000;100;2012M03;98,3
000000;100;2012M04;98,3
000000;100;2012M05;98,4
000000;100;2012M06;98,2
000000;100;2012M07;98,2
000000;100;2012M08;98,5
000000;100;2012M09;98,7
000000;100;2012M10;98,7
000000;100;2012M11;98,5
000000;100;2012M12;98,3
000000;100;2013M01;97,9
000000;100;2013M02;99,0
000000;100;2013M03;99,3
000000;100;2013M04;99,1
000000;100;2013M05;99,2
000000;100;2013M06;99,1
000000;100;2013M07;98,8
000000;100;2013M08;98,9
000000;100;2013M09;99,2
000000;100;2013M10;99,3
000000;100;2013M11;99,1
