OMRÅDE;KØN;ALDER;INDVLAND;STATSB;TID;INDHOLD
000;2;54;5170;5100;2009;1
000;2;54;5170;5170;2009;1
000;2;54;5170;5392;2009;1
000;2;54;5174;5174;2009;1
000;2;54;5180;5100;2009;7
000;2;54;5180;5180;2009;5
000;2;54;5180;5432;2009;1
000;2;54;5182;5174;2009;1
000;2;54;5204;5100;2009;1
000;2;54;5228;5100;2009;2
000;2;54;5266;5100;2009;1
000;2;54;5390;5100;2009;4
000;2;54;5390;5390;2009;4
000;2;54;5408;5408;2009;2
000;2;54;5432;5100;2009;2
000;2;54;5436;5103;2009;1
000;2;7;5458;5414;2009;1
000;2;7;5459;5459;2009;1
000;2;7;5462;5100;2009;1
000;2;7;5464;5408;2009;2
000;2;7;5466;5100;2009;1
000;2;7;5468;5100;2009;1
000;2;7;5468;5468;2009;1
000;2;7;5472;5404;2009;1
000;2;7;5472;5472;2009;1
000;2;7;5474;5100;2009;1
000;2;7;5474;5474;2009;1
000;2;55;5101;5100;2009;8
000;2;55;5105;5105;2009;2
000;2;55;5108;5100;2009;1
000;2;55;5110;5100;2009;3
000;2;55;5110;5110;2009;3
000;2;55;5110;5154;2009;1
000;2;55;5120;5100;2009;4
000;2;55;5120;5103;2009;1
000;2;55;5120;5120;2009;1
000;2;55;5126;5100;2009;2
000;2;55;5128;5128;2009;1
000;2;55;5130;5100;2009;1
000;2;55;5130;5130;2009;1
000;2;55;5134;5100;2009;1
000;2;55;5140;5100;2009;1
000;2;55;5150;5150;2009;2
000;2;55;5154;5154;2009;2
000;2;55;5160;5100;2009;1
000;2;55;5164;5100;2009;4
000;2;55;5164;5126;2009;1
000;2;55;5170;5100;2009;4
000;2;55;5170;5170;2009;1
000;2;55;5172;5100;2009;1
000;2;55;5174;5174;2009;2
000;2;55;5180;5100;2009;2
000;2;55;5180;5154;2009;1
000;2;55;5180;5180;2009;3
000;2;55;5234;5120;2009;1
000;2;55;5266;5100;2009;1
000;2;55;5295;5100;2009;1
000;2;55;5306;5100;2009;2
000;2;71;5150;5150;2009;1
000;2;71;5156;5100;2009;1
000;2;71;5164;5100;2009;3
000;2;71;5262;5100;2009;1
000;2;71;5390;5100;2009;1
000;2;55;5514;5100;2009;1
000;2;55;5607;5607;2009;1
000;2;55;5609;5609;2009;1
000;2;55;5611;5611;2009;1
000;2;55;5700;5700;2009;1
000;2;55;5757;5757;2009;1
000;2;55;5901;5100;2009;9
000;2;56;5101;5100;2009;16
000;2;56;5105;5100;2009;1
000;2;56;5108;5100;2009;2
000;2;56;5110;5100;2009;4
000;2;56;5120;5100;2009;7
000;2;56;5120;5120;2009;3
000;2;56;5120;5130;2009;1
000;2;56;5130;5100;2009;4
000;2;56;5154;5100;2009;1
000;2;56;5154;5154;2009;3
000;2;56;5164;5100;2009;5
000;2;56;5170;5100;2009;2
000;2;56;5170;5170;2009;1
000;2;56;5172;5172;2009;2
000;2;56;5174;5174;2009;1
000;2;56;5180;5100;2009;5
000;2;56;5180;5999;2009;1
000;2;56;5204;5100;2009;1
000;2;56;5213;5213;2009;1
000;2;56;5234;5100;2009;2
000;2;56;5268;5100;2009;1
000;2;74;5436;5436;2009;1
000;2;74;5464;5408;2009;1
000;2;74;5486;5446;2009;1
000;2;74;5607;5700;2009;1
000;2;74;5609;5609;2009;1
000;2;75;5101;5100;2009;2
000;2;75;5120;5120;2009;1
000;2;75;5164;5100;2009;3
000;2;75;5164;5180;2009;1
000;2;56;5700;5700;2009;2
000;2;56;5761;5761;2009;1
000;2;57;5101;5100;2009;6
000;2;57;5105;5105;2009;2
000;2;57;5108;5100;2009;1
000;2;57;5110;5110;2009;2
000;2;57;5110;5120;2009;1
000;2;57;5120;5100;2009;5
000;2;57;5120;5120;2009;2
000;2;57;5120;5492;2009;1
000;2;57;5126;5100;2009;1
000;2;57;5128;5128;2009;1
000;2;57;5130;5100;2009;1
000;2;57;5130;5390;2009;1
000;2;57;5140;5110;2009;1
000;2;57;5154;5154;2009;2
000;2;57;5156;5100;2009;1
000;2;57;5164;5100;2009;3
000;2;57;5170;5100;2009;1
000;2;57;5174;5174;2009;1
000;2;57;5180;5100;2009;1
000;2;57;5180;5180;2009;7
000;2;57;5214;5289;2009;1
000;2;75;5180;5180;2009;2
000;2;75;5366;5100;2009;1
000;2;75;5759;5151;2009;1
000;2;76;5110;5110;2009;1
000;2;7;5478;5100;2009;1
000;2;7;5482;5100;2009;2
000;2;7;5482;5502;2009;1
000;2;7;5486;5100;2009;1
000;2;7;5486;5486;2009;1
000;2;7;5492;5100;2009;2
000;2;7;5492;5492;2009;4
000;2;7;5502;5100;2009;4
000;2;7;5502;5170;2009;1
000;2;7;5534;5100;2009;1
000;2;7;5607;5100;2009;1
000;2;7;5607;5607;2009;2
000;2;7;5611;5611;2009;3
000;2;7;5700;5700;2009;2
000;2;7;5704;5704;2009;2
000;2;7;5708;5100;2009;1
000;2;7;5756;5100;2009;1
000;2;7;5776;5776;2009;1
000;2;71;5611;5999;2009;1
000;2;72;5110;5100;2009;2
000;2;72;5130;5100;2009;1
000;2;7;5214;5100;2009;3
000;2;7;5238;5238;2009;1
000;2;7;5246;5100;2009;1
000;2;7;5246;5246;2009;1
000;2;7;5262;5100;2009;1
000;2;7;5262;5262;2009;1
000;2;7;5266;5100;2009;1
000;2;7;5268;5100;2009;1
000;2;7;5269;5100;2009;1
000;2;7;5269;5269;2009;1
000;2;7;5276;5276;2009;1
000;2;7;5279;5279;2009;1
000;2;7;5289;5100;2009;1
000;2;7;5289;5289;2009;1
000;2;7;5299;5100;2009;1
000;2;7;5306;5306;2009;1
000;2;7;5314;5100;2009;1
000;2;7;5314;5105;2009;1
000;2;7;5314;5314;2009;1
000;2;7;5318;5318;2009;1
000;2;7;5338;5338;2009;1
000;2;7;5390;5100;2009;6
000;2;7;5390;5390;2009;2
000;2;7;5403;5100;2009;5
000;2;7;5404;5404;2009;1
000;2;7;5414;5414;2009;1
000;2;7;5778;5778;2009;1
000;2;70;5101;5100;2009;1
000;2;70;5110;5110;2009;1
000;2;70;5120;5100;2009;1
000;2;70;5130;5100;2009;1
000;2;70;5130;5130;2009;1
000;2;70;5160;5100;2009;1
000;2;70;5164;5100;2009;4
000;2;70;5170;5100;2009;1
000;2;70;5180;5180;2009;1
000;2;70;5297;5100;2009;1
000;2;70;5390;5100;2009;2
000;2;70;5448;5100;2009;1
000;2;71;5101;5100;2009;1
000;2;71;5120;5100;2009;4
000;2;39;5404;5404;2009;1
000;2;39;5408;5408;2009;1
000;2;39;5416;5100;2009;1
000;2;39;5418;5418;2009;2
000;2;39;5432;5100;2009;2
000;2;39;5434;5434;2009;1
000;2;72;5150;5100;2009;1
000;2;72;5154;5154;2009;1
000;2;72;5160;5100;2009;2
000;2;72;5164;5100;2009;1
000;2;72;5180;5100;2009;1
000;2;72;5180;5180;2009;1
000;2;72;5222;5100;2009;1
000;2;72;5472;5170;2009;1
000;2;72;5700;5700;2009;1
000;2;72;5757;5152;2009;1
000;2;72;5776;5776;2009;1
000;2;73;5110;5110;2009;1
000;2;73;5120;5100;2009;3
000;2;73;5130;5110;2009;1
000;2;73;5170;5100;2009;1
000;2;73;5390;5100;2009;1
000;2;73;5436;5436;2009;2
000;2;73;5464;5408;2009;1
000;2;74;5105;5105;2009;1
000;2;74;5110;5100;2009;1
