period,start_year_used,end_year_used,group_name,start_population,end_population,change_abs,change_pct,start_population_share,end_population_share,change_percentage_points,change_since_2000_abs,change_since_2000_percentage_points,change_since_2000_pct,change_since_2010_abs,change_since_2010_percentage_points,change_since_2020_abs,change_since_2020_percentage_points
2000 to 2010,2008,2010,Danish origin,4985102,4997899,12797,0.002567048778540526,0.9053953009401571,0.899273243705275,-0.006122057234882128,31249.0,-0.07209585540432617,0.006268477555725127,18452.0,-0.06597379816944404,-6374.0,-0.02716684205723796
2000 to 2010,2008,2010,Western immigrant origin,170392,188926,18534,0.10877271233391239,0.03094663180769325,0.033993503438197285,0.003046871630504034,187690.0,0.02853675204171469,1.1015188506502653,169156.0,0.025489880411210655,64986.0,0.009271750318131967
2000 to 2010,2008,2010,Non-western immigrant origin,350501,370884,20383,0.0581538997035671,0.0636580672521497,0.06673325285652776,0.0030751856043780557,294932.0,0.043559103362611484,0.841458369590957,274549.0,0.04048391775823343,124041.0,0.017895091739105973
2000 to 2010,2008,2010,Immigrant-origin total,520893,559810,38917,0.0747120809840025,0.09460469905984295,0.10072675629472504,0.006122057234882086,482622.0,0.0720958554043262,0.9265280969412144,443705.0,0.06597379816944411,189027.0,0.02716684205723796
2010 to 2020,2010,2020,Danish origin,4997899,5022725,24826,0.0049672872541042246,0.899273243705275,0.8604662875930689,-0.03880695611220608,31249.0,-0.07209585540432617,0.006268477555725127,18452.0,-0.06597379816944404,-6374.0,-0.02716684205723796
2010 to 2020,2010,2020,Western immigrant origin,188926,293096,104170,0.5513799053597706,0.033993503438197285,0.05021163353127597,0.016218130093078688,187690.0,0.02853675204171469,1.1015188506502653,169156.0,0.025489880411210655,64986.0,0.009271750318131967
2010 to 2020,2010,2020,Non-western immigrant origin,370884,521392,150508,0.4058088243224296,0.06673325285652776,0.08932207887565521,0.022588826019127456,294932.0,0.043559103362611484,0.841458369590957,274549.0,0.04048391775823343,124041.0,0.017895091739105973
2010 to 2020,2010,2020,Immigrant-origin total,559810,814488,254678,0.45493649631124855,0.10072675629472504,0.1395337124069312,0.03880695611220615,482622.0,0.0720958554043262,0.9265280969412144,443705.0,0.06597379816944411,189027.0,0.02716684205723796
2020 to latest,2020,2025,Danish origin,5022725,5016351,-6374,-0.0012690322484308902,0.8604662875930689,0.8332994455358309,-0.02716684205723796,31249.0,-0.07209585540432617,0.006268477555725127,18452.0,-0.06597379816944404,-6374.0,-0.02716684205723796
2020 to latest,2020,2025,Western immigrant origin,293096,358082,64986,0.22172257553839025,0.05021163353127597,0.05948338384940794,0.009271750318131967,187690.0,0.02853675204171469,1.1015188506502653,169156.0,0.025489880411210655,64986.0,0.009271750318131967
2020 to latest,2020,2025,Non-western immigrant origin,521392,645433,124041,0.23790353515205442,0.08932207887565521,0.10721717061476119,0.017895091739105973,294932.0,0.043559103362611484,0.841458369590957,274549.0,0.04048391775823343,124041.0,0.017895091739105973
2020 to latest,2020,2025,Immigrant-origin total,814488,1003515,189027,0.2320807673041223,0.1395337124069312,0.16670055446416915,0.02716684205723796,482622.0,0.0720958554043262,0.9265280969412144,443705.0,0.06597379816944411,189027.0,0.02716684205723796
2000 to latest,2008,2025,Danish origin,4985102,5016351,31249,0.006268477555725127,0.9053953009401571,0.8332994455358309,-0.07209585540432617,31249.0,-0.07209585540432617,0.006268477555725127,18452.0,-0.06597379816944404,-6374.0,-0.02716684205723796
2000 to latest,2008,2025,Western immigrant origin,170392,358082,187690,1.1015188506502653,0.03094663180769325,0.05948338384940794,0.02853675204171469,187690.0,0.02853675204171469,1.1015188506502653,169156.0,0.025489880411210655,64986.0,0.009271750318131967
2000 to latest,2008,2025,Non-western immigrant origin,350501,645433,294932,0.841458369590957,0.0636580672521497,0.10721717061476119,0.043559103362611484,294932.0,0.043559103362611484,0.841458369590957,274549.0,0.04048391775823343,124041.0,0.017895091739105973
2000 to latest,2008,2025,Immigrant-origin total,520893,1003515,482622,0.9265280969412144,0.09460469905984295,0.16670055446416915,0.0720958554043262,482622.0,0.0720958554043262,0.9265280969412144,443705.0,0.06597379816944411,189027.0,0.02716684205723796
