milestone_label,requested_milestone_year,actual_year_used,note,year,group_code,group_name,population,total_population,population_share,immigrant_origin_population,immigrant_origin_share
2000 target / nearest available: 2008,2000,2008,nearest available year to 2000,2008,DANSK,Danish origin,4985102,5505995,0.9053953009401571,520893,0.09460469905984295
2000 target / nearest available: 2008,2000,2008,nearest available year to 2000,2008,IND_ANDRE,Non-western immigrant origin,350501,5505995,0.0636580672521497,520893,0.09460469905984295
2000 target / nearest available: 2008,2000,2008,nearest available year to 2000,2008,IND_VEST,Western immigrant origin,170392,5505995,0.03094663180769325,520893,0.09460469905984295
2000 target / nearest available: 2008,2000,2008,nearest available year to 2000,2008,IMMIGRANT_TOTAL,Immigrant-origin total,520893,5505995,0.09460469905984295,520893,0.09460469905984295
2010,2010,2010,exact year,2010,DANSK,Danish origin,4997899,5557709,0.899273243705275,559810,0.10072675629472504
2010,2010,2010,exact year,2010,IND_ANDRE,Non-western immigrant origin,370884,5557709,0.06673325285652776,559810,0.10072675629472504
2010,2010,2010,exact year,2010,IND_VEST,Western immigrant origin,188926,5557709,0.033993503438197285,559810,0.10072675629472504
2010,2010,2010,exact year,2010,IMMIGRANT_TOTAL,Immigrant-origin total,559810,5557709,0.10072675629472504,559810,0.10072675629472504
2020,2020,2020,exact year,2020,DANSK,Danish origin,5022725,5837213,0.8604662875930689,814488,0.1395337124069312
2020,2020,2020,exact year,2020,IND_ANDRE,Non-western immigrant origin,521392,5837213,0.08932207887565521,814488,0.1395337124069312
2020,2020,2020,exact year,2020,IND_VEST,Western immigrant origin,293096,5837213,0.05021163353127597,814488,0.1395337124069312
2020,2020,2020,exact year,2020,IMMIGRANT_TOTAL,Immigrant-origin total,814488,5837213,0.1395337124069312,814488,0.1395337124069312
latest,2025,2025,exact year,2025,DANSK,Danish origin,5016351,6019866,0.8332994455358309,1003515,0.16670055446416915
latest,2025,2025,exact year,2025,IND_ANDRE,Non-western immigrant origin,645433,6019866,0.10721717061476119,1003515,0.16670055446416915
latest,2025,2025,exact year,2025,IND_VEST,Western immigrant origin,358082,6019866,0.05948338384940794,1003515,0.16670055446416915
latest,2025,2025,exact year,2025,IMMIGRANT_TOTAL,Immigrant-origin total,1003515,6019866,0.16670055446416915,1003515,0.16670055446416915
