year,group_code,group_name,forecast_income_gap_vs_danes,note
2025,IND_ANDRE,Non-western immigrant origin,98620.36029411759,"Simple linear scenario, not an official forecast."
2026,IND_ANDRE,Non-western immigrant origin,99620.77941176482,"Simple linear scenario, not an official forecast."
2027,IND_ANDRE,Non-western immigrant origin,100621.1985294118,"Simple linear scenario, not an official forecast."
2028,IND_ANDRE,Non-western immigrant origin,101621.6176470588,"Simple linear scenario, not an official forecast."
2029,IND_ANDRE,Non-western immigrant origin,102622.03676470579,"Simple linear scenario, not an official forecast."
2030,IND_ANDRE,Non-western immigrant origin,103622.45588235301,"Simple linear scenario, not an official forecast."
2031,IND_ANDRE,Non-western immigrant origin,104622.875,"Simple linear scenario, not an official forecast."
2032,IND_ANDRE,Non-western immigrant origin,105623.29411764699,"Simple linear scenario, not an official forecast."
2033,IND_ANDRE,Non-western immigrant origin,106623.71323529421,"Simple linear scenario, not an official forecast."
2034,IND_ANDRE,Non-western immigrant origin,107624.1323529412,"Simple linear scenario, not an official forecast."
2025,IND_VEST,Western immigrant origin,17115.27205882361,"Simple linear scenario, not an official forecast."
2026,IND_VEST,Western immigrant origin,16252.348039215663,"Simple linear scenario, not an official forecast."
2027,IND_VEST,Western immigrant origin,15389.424019607948,"Simple linear scenario, not an official forecast."
2028,IND_VEST,Western immigrant origin,14526.5,"Simple linear scenario, not an official forecast."
2029,IND_VEST,Western immigrant origin,13663.575980392052,"Simple linear scenario, not an official forecast."
2030,IND_VEST,Western immigrant origin,12800.651960784337,"Simple linear scenario, not an official forecast."
2031,IND_VEST,Western immigrant origin,11937.727941176388,"Simple linear scenario, not an official forecast."
2032,IND_VEST,Western immigrant origin,11074.803921568673,"Simple linear scenario, not an official forecast."
2033,IND_VEST,Western immigrant origin,10211.879901960725,"Simple linear scenario, not an official forecast."
2034,IND_VEST,Western immigrant origin,9348.95588235301,"Simple linear scenario, not an official forecast."
