year,group_code,group_name,population_share,income_share,contribution_index
2008,DANSK,Danish origin,0.9053953009401571,0.9393487266732244,1.0375012170902702
2008,IND_ANDRE,Non-western immigrant origin,0.0636580672521497,0.03545250986993232,0.5569209277043375
2008,IND_VEST,Western immigrant origin,0.03094663180769325,0.02519876345684328,0.814265139205842
2009,DANSK,Danish origin,0.9021758757429466,0.9363301138024946,1.037857627296254
2009,IND_ANDRE,Non-western immigrant origin,0.06523686898455698,0.0369137211471689,0.5658413979970007
2009,IND_VEST,Western immigrant origin,0.03258725527249644,0.026756165050336476,0.8210622473908876
2010,DANSK,Danish origin,0.899273243705275,0.9359046708444714,1.0407344790869837
2010,IND_ANDRE,Non-western immigrant origin,0.06673325285652776,0.036628393781357106,0.548877691607598
2010,IND_VEST,Western immigrant origin,0.033993503438197285,0.027466935374171542,0.8080054303349012
2011,DANSK,Danish origin,0.8963916716434818,0.9343340216149797,1.0423278698048732
2011,IND_ANDRE,Non-western immigrant origin,0.06806974615016766,0.03725103916101179,0.5472480987196988
2011,IND_VEST,Western immigrant origin,0.03553858220635058,0.028414939224008465,0.799551852097545
2012,DANSK,Danish origin,0.893357727649779,0.9322957309590916,1.0435861269278428
2012,IND_ANDRE,Non-western immigrant origin,0.06924360653717677,0.038290573126217926,0.552983517773006
2012,IND_VEST,Western immigrant origin,0.03739866581304417,0.029413695914690546,0.7864905144405293
2013,DANSK,Danish origin,0.889457119328333,0.9296284715914774,1.0451638998555428
2013,IND_ANDRE,Non-western immigrant origin,0.07125810060316518,0.03875199463092162,0.5438258149305809
2013,IND_VEST,Western immigrant origin,0.039284780068501814,0.031619533777600906,0.8048799998998382
2014,DANSK,Danish origin,0.8845346770985281,0.9269481829832442,1.0479500770098036
2014,IND_ANDRE,Non-western immigrant origin,0.0739654334084781,0.04010295816121994,0.5421851304480187
2014,IND_VEST,Western immigrant origin,0.04149988949299386,0.032948858855535855,0.7939505203043585
2015,DANSK,Danish origin,0.8779118896971866,0.9230484963053094,1.0514135953024757
2015,IND_ANDRE,Non-western immigrant origin,0.07812998971789122,0.041571361865982474,0.532079448827355
2015,IND_VEST,Western immigrant origin,0.04395812058492215,0.03538014182870815,0.8048602023454958
2016,DANSK,Danish origin,0.8715518822819703,0.9198955914228947,1.0554685385043823
2016,IND_ANDRE,Non-western immigrant origin,0.08228454627130745,0.043521944586175434,0.5289200288311184
2016,IND_VEST,Western immigrant origin,0.046163571446722194,0.036582463990929875,0.7924530716422155
2017,DANSK,Danish origin,0.8670475567484689,0.9166284217189374,1.0571835588308474
2017,IND_ANDRE,Non-western immigrant origin,0.08496323484876016,0.045091477085460734,0.5307175175913013
2017,IND_VEST,Western immigrant origin,0.047989208402770926,0.038280101195601816,0.7976814469269616
2018,DANSK,Danish origin,0.8633422407623818,0.9126873371574912,1.057155892605851
2018,IND_ANDRE,Non-western immigrant origin,0.08699443594272492,0.04738263124028105,0.5446627790250478
2018,IND_VEST,Western immigrant origin,0.04966332329489331,0.03993003160222779,0.8040144910385738
2019,DANSK,Danish origin,0.8607551862620149,0.9098613170529045,1.0570500550849329
2019,IND_ANDRE,Non-western immigrant origin,0.08856598488913615,0.04882483926496369,0.5512820675576627
2019,IND_VEST,Western immigrant origin,0.05067882884884898,0.04131384368213183,0.8152091242153903
2020,DANSK,Danish origin,0.8604662875930689,0.9061909042118614,1.053139346977434
2020,IND_ANDRE,Non-western immigrant origin,0.08932207887565521,0.05034079756680337,0.5635873929544623
2020,IND_VEST,Western immigrant origin,0.05021163353127597,0.043468298221335175,0.8657017341262062
2021,DANSK,Danish origin,0.8568651732654874,0.9025834231358063,1.0533552433880444
2021,IND_ANDRE,Non-western immigrant origin,0.09060843179241547,0.05202653906533119,0.5741909228108522
2021,IND_VEST,Western immigrant origin,0.05252639494209713,0.04539003779886254,0.8641376939898235
2022,DANSK,Danish origin,0.8475107129049431,0.8949411635932123,1.0559644261317898
2022,IND_ANDRE,Non-western immigrant origin,0.09693078900013562,0.05535842126913074,0.5711128717734185
2022,IND_VEST,Western immigrant origin,0.0555584980949213,0.049700415137656946,0.89456009146871
2023,DANSK,Danish origin,0.8424870088987869,0.8896569807474867,1.0559889604830293
2023,IND_ANDRE,Non-western immigrant origin,0.10004087615933245,0.058150413395300096,0.5812665345182051
2023,IND_VEST,Western immigrant origin,0.05747211494188068,0.05219260585721327,0.9081379014848092
2024,DANSK,Danish origin,0.8375828987885613,0.886446674811294,1.058339032582216
2024,IND_ANDRE,Non-western immigrant origin,0.10362930791980281,0.0608523363267033,0.5872116445455375
2024,IND_VEST,Western immigrant origin,0.058787793291635956,0.052700988862002654,0.8964614235571365
