year,group_code,group_name,population_share,birth_share,birth_population_ratio
2008,DANSK,Danish origin,0.9053953009401571,0.8598204126818167,0.9496629944831659
2008,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.09460469905984295,0.13957993788246872,1.4754017429322017
2009,DANSK,Danish origin,0.9021758757429466,0.8492151930975198,0.9412967204406643
2009,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.09782412425705342,0.15078480690248017,1.5413867289653567
2010,DANSK,Danish origin,0.899273243705275,0.8426140574979104,0.9369944712533514
2010,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.10072675629472505,0.15738594250208954,1.5625038300804657
2011,DANSK,Danish origin,0.8963916716434818,0.8357401945828672,0.9323381965950067
2011,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.10360832835651823,0.16425980541713278,1.5853919083793309
2012,DANSK,Danish origin,0.893357727649779,0.8255059051039436,0.9240485413112862
2012,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.10664227235022095,0.17449409489605636,1.636256346104527
2013,DANSK,Danish origin,0.889457119328333,0.8137382993574714,0.9148707471946033
2013,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.11054288067166698,0.1862617006425286,1.684972379141816
2014,DANSK,Danish origin,0.8845346770985281,0.8021100756110427,0.9068158619197876
2014,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.11546532290147196,0.19788992438895728,1.7138472349643823
2015,DANSK,Danish origin,0.8779118896971866,0.7946568164247058,0.905166937309395
2015,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.12208811030281336,0.2053431835752942,1.681926135689909
2016,DANSK,Danish origin,0.8715518822819703,0.7841237381114682,0.8996868161863291
2016,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.12844811771802964,0.21587626188853182,1.6806494771875533
2017,DANSK,Danish origin,0.8670475567484689,0.7780673322800788,0.8973756124726578
2017,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.13295244325153108,0.22193266771992118,1.6692635523820312
2018,DANSK,Danish origin,0.8633422407623818,0.7781410631791268,0.9013123955246098
2018,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.13665775923761825,0.22185893682087318,1.6234638856847385
2019,DANSK,Danish origin,0.8607551862620149,0.780862229633626,0.9071827182647153
2019,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.13924481373798514,0.21913777036637402,1.5737589392644975
2020,DANSK,Danish origin,0.8604662875930689,0.7843510510855474,0.9115418725811628
2020,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.1395337124069312,0.21564894891445263,1.545497107434092
2021,DANSK,Danish origin,0.8568651732654874,0.7876734989680652,0.9192502199223072
2021,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.1431348267345126,0.21232650103193484,1.4834020893165252
2022,DANSK,Danish origin,0.8475107129049431,0.7859318843060071,0.927341533668799
2022,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.1524892870950569,0.2140681156939928,1.403823965420926
2023,DANSK,Danish origin,0.8424870088987869,0.7807339609180601,0.9267014834312471
2023,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.15751299110121314,0.21926603908193984,1.392050506748653
2024,DANSK,Danish origin,0.8375828987885613,0.7724732388444087,0.9222648169651935
2024,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.16241710121143876,0.22752676115559137,1.4008793375729023
2025,DANSK,Danish origin,0.8332994455358309,0.7746748986423969,0.9296476828257854
2025,IMMIGRANT_BACKGROUND_MOTHER,Immigrant-background mother proxy,0.16670055446416912,0.22532510135760309,1.3516757762556502
