year,mother_group_code,mother_group_name,births,total_births,birth_share
2007,DANSK,Mother of Danish origin,55436,64082,0.8650791173808557
2007,DESCENDANT_MOTHER,Descendant mother,875,64082,0.013654380325208326
2007,IMMIGRANT_MOTHER,Immigrant mother,7770,64082,0.12125089728784995
2007,UNKNOWN,Unknown mother origin,1,64082,1.5605006085952374e-05
2008,DANSK,Mother of Danish origin,55921,65038,0.8598204126818167
2008,DESCENDANT_MOTHER,Descendant mother,924,65038,0.014207078938466743
2008,IMMIGRANT_MOTHER,Immigrant mother,8154,65038,0.12537285894400196
2008,UNKNOWN,Unknown mother origin,39,65038,0.0005996494357145053
2009,DANSK,Mother of Danish origin,53346,62818,0.8492151930975198
2009,DESCENDANT_MOTHER,Descendant mother,1061,62818,0.016890063357636348
2009,IMMIGRANT_MOTHER,Immigrant mother,8411,62818,0.13389474354484385
2010,DANSK,Mother of Danish origin,53431,63411,0.8426140574979104
2010,DESCENDANT_MOTHER,Descendant mother,1149,63411,0.018119884562615318
2010,IMMIGRANT_MOTHER,Immigrant mother,8831,63411,0.13926605793947422
2011,DANSK,Mother of Danish origin,49307,58998,0.8357401945828672
2011,DESCENDANT_MOTHER,Descendant mother,1109,58998,0.018797247364317433
2011,IMMIGRANT_MOTHER,Immigrant mother,8582,58998,0.14546255805281536
2012,DANSK,Mother of Danish origin,47810,57916,0.8255059051039436
2012,DESCENDANT_MOTHER,Descendant mother,1331,57916,0.022981559499965467
2012,IMMIGRANT_MOTHER,Immigrant mother,8775,57916,0.15151253539609089
2013,DANSK,Mother of Danish origin,45466,55873,0.8137382993574714
2013,DESCENDANT_MOTHER,Descendant mother,1394,55873,0.0249494389060906
2013,IMMIGRANT_MOTHER,Immigrant mother,9013,55873,0.161312261736438
2014,DANSK,Mother of Danish origin,45616,56870,0.8021100756110427
2014,DESCENDANT_MOTHER,Descendant mother,1523,56870,0.0267803762968173
2014,IMMIGRANT_MOTHER,Immigrant mother,9731,56870,0.17110954809213996
2015,DANSK,Mother of Danish origin,46253,58205,0.7946568164247058
2015,DESCENDANT_MOTHER,Descendant mother,1726,58205,0.029653809810153767
2015,IMMIGRANT_MOTHER,Immigrant mother,10226,58205,0.17568937376514046
2016,DANSK,Mother of Danish origin,48313,61614,0.7841237381114682
2016,DESCENDANT_MOTHER,Descendant mother,1916,61614,0.031096828642840912
2016,IMMIGRANT_MOTHER,Immigrant mother,11385,61614,0.1847794332456909
2017,DANSK,Mother of Danish origin,47771,61397,0.7780673322800788
2017,DESCENDANT_MOTHER,Descendant mother,2005,61397,0.032656318712640686
2017,IMMIGRANT_MOTHER,Immigrant mother,11621,61397,0.1892763490072805
2018,DANSK,Mother of Danish origin,47837,61476,0.7781410631791268
2018,DESCENDANT_MOTHER,Descendant mother,2135,61476,0.03472899993493396
2018,IMMIGRANT_MOTHER,Immigrant mother,11504,61476,0.18712993688593924
2019,DANSK,Mother of Danish origin,47763,61167,0.780862229633626
2019,DESCENDANT_MOTHER,Descendant mother,2193,61167,0.03585266565304821
2019,IMMIGRANT_MOTHER,Immigrant mother,11211,61167,0.18328510471332582
2020,DANSK,Mother of Danish origin,47796,60937,0.7843510510855474
2020,DESCENDANT_MOTHER,Descendant mother,2413,60937,0.039598273626860525
2020,IMMIGRANT_MOTHER,Immigrant mother,10728,60937,0.1760506752875921
2021,DANSK,Mother of Danish origin,49996,63473,0.7876734989680652
2021,DESCENDANT_MOTHER,Descendant mother,2528,63473,0.03982795834449293
2021,IMMIGRANT_MOTHER,Immigrant mother,10949,63473,0.1724985426874419
2022,DANSK,Mother of Danish origin,45922,58430,0.7859318843060071
2022,DESCENDANT_MOTHER,Descendant mother,2469,58430,0.04225569056991271
2022,IMMIGRANT_MOTHER,Immigrant mother,10039,58430,0.1718124251240801
2023,DANSK,Mother of Danish origin,44868,57469,0.7807339609180601
2023,DESCENDANT_MOTHER,Descendant mother,2682,57469,0.046668638744366525
2023,IMMIGRANT_MOTHER,Immigrant mother,9919,57469,0.1725974003375733
2024,DANSK,Mother of Danish origin,44092,57079,0.7724732388444087
2024,DESCENDANT_MOTHER,Descendant mother,2790,57079,0.04887962297867867
2024,IMMIGRANT_MOTHER,Immigrant mother,10197,57079,0.1786471381769127
2025,DANSK,Mother of Danish origin,46049,59443,0.7746748986423969
2025,DESCENDANT_MOTHER,Descendant mother,3056,59443,0.051410595023804316
2025,IMMIGRANT_MOTHER,Immigrant mother,10338,59443,0.17391450633379876
