year,migration_group_code,immigration,emigration,net_migration,migration_group_name
2007,DANISH_CITIZENSHIP,22067,24150,-2083,Danish citizenship
2007,FOREIGN_CITIZENSHIP,42702,18558,24144,Foreign citizenship
2008,DANISH_CITIZENSHIP,22781,23437,-656,Danish citizenship
2008,FOREIGN_CITIZENSHIP,50981,24734,26247,Foreign citizenship
2009,DANISH_CITIZENSHIP,22411,21528,883,Danish citizenship
2009,FOREIGN_CITIZENSHIP,46032,30460,15572,Foreign citizenship
2010,DANISH_CITIZENSHIP,21530,21871,-341,Danish citizenship
2010,FOREIGN_CITIZENSHIP,47670,30226,17444,Foreign citizenship
2011,DANISH_CITIZENSHIP,21264,22864,-1600,Danish citizenship
2011,FOREIGN_CITIZENSHIP,48858,32918,15940,Foreign citizenship
2012,DANISH_CITIZENSHIP,21879,22348,-469,Danish citizenship
2012,FOREIGN_CITIZENSHIP,50633,32559,18074,Foreign citizenship
2013,DANISH_CITIZENSHIP,22223,22343,-120,Danish citizenship
2013,FOREIGN_CITIZENSHIP,56995,34073,22922,Foreign citizenship
2014,DANISH_CITIZENSHIP,22016,21690,326,Danish citizenship
2014,FOREIGN_CITIZENSHIP,65547,37536,28011,Foreign citizenship
2015,DANISH_CITIZENSHIP,22549,21831,718,Danish citizenship
2015,FOREIGN_CITIZENSHIP,76323,34509,41814,Foreign citizenship
2016,DANISH_CITIZENSHIP,22186,21544,642,Danish citizenship
2016,FOREIGN_CITIZENSHIP,72179,39534,32645,Foreign citizenship
2017,DANISH_CITIZENSHIP,21937,21006,931,Danish citizenship
2017,FOREIGN_CITIZENSHIP,67445,43745,23700,Foreign citizenship
2018,DANISH_CITIZENSHIP,21902,20909,993,Danish citizenship
2018,FOREIGN_CITIZENSHIP,65427,47736,17691,Foreign citizenship
2019,DANISH_CITIZENSHIP,21275,20127,1148,Danish citizenship
2019,FOREIGN_CITIZENSHIP,62643,54470,8173,Foreign citizenship
2020,DANISH_CITIZENSHIP,21696,15871,5825,Danish citizenship
2020,FOREIGN_CITIZENSHIP,48644,43549,5095,Foreign citizenship
2021,DANISH_CITIZENSHIP,18356,16267,2089,Danish citizenship
2021,FOREIGN_CITIZENSHIP,57922,33536,24386,Foreign citizenship
2022,DANISH_CITIZENSHIP,18141,18859,-718,Danish citizenship
2022,FOREIGN_CITIZENSHIP,103042,44068,58974,Foreign citizenship
2023,DANISH_CITIZENSHIP,18783,17632,1151,Danish citizenship
2023,FOREIGN_CITIZENSHIP,79561,50540,29021,Foreign citizenship
2024,DANISH_CITIZENSHIP,18508,16887,1621,Danish citizenship
2024,FOREIGN_CITIZENSHIP,83216,52580,30636,Foreign citizenship
2025,DANISH_CITIZENSHIP,17611,16328,1283,Danish citizenship
2025,FOREIGN_CITIZENSHIP,84420,54012,30408,Foreign citizenship
