year,migration_group_code,migration_group_name,net_migration
2007,DANISH_CITIZENSHIP,Danish citizenship,-2083
2007,FOREIGN_CITIZENSHIP,Foreign citizenship,24144
2008,DANISH_CITIZENSHIP,Danish citizenship,-656
2008,FOREIGN_CITIZENSHIP,Foreign citizenship,26247
2009,DANISH_CITIZENSHIP,Danish citizenship,883
2009,FOREIGN_CITIZENSHIP,Foreign citizenship,15572
2010,DANISH_CITIZENSHIP,Danish citizenship,-341
2010,FOREIGN_CITIZENSHIP,Foreign citizenship,17444
2011,DANISH_CITIZENSHIP,Danish citizenship,-1600
2011,FOREIGN_CITIZENSHIP,Foreign citizenship,15940
2012,DANISH_CITIZENSHIP,Danish citizenship,-469
2012,FOREIGN_CITIZENSHIP,Foreign citizenship,18074
2013,DANISH_CITIZENSHIP,Danish citizenship,-120
2013,FOREIGN_CITIZENSHIP,Foreign citizenship,22922
2014,DANISH_CITIZENSHIP,Danish citizenship,326
2014,FOREIGN_CITIZENSHIP,Foreign citizenship,28011
2015,DANISH_CITIZENSHIP,Danish citizenship,718
2015,FOREIGN_CITIZENSHIP,Foreign citizenship,41814
2016,DANISH_CITIZENSHIP,Danish citizenship,642
2016,FOREIGN_CITIZENSHIP,Foreign citizenship,32645
2017,DANISH_CITIZENSHIP,Danish citizenship,931
2017,FOREIGN_CITIZENSHIP,Foreign citizenship,23700
2018,DANISH_CITIZENSHIP,Danish citizenship,993
2018,FOREIGN_CITIZENSHIP,Foreign citizenship,17691
2019,DANISH_CITIZENSHIP,Danish citizenship,1148
2019,FOREIGN_CITIZENSHIP,Foreign citizenship,8173
2020,DANISH_CITIZENSHIP,Danish citizenship,5825
2020,FOREIGN_CITIZENSHIP,Foreign citizenship,5095
2021,DANISH_CITIZENSHIP,Danish citizenship,2089
2021,FOREIGN_CITIZENSHIP,Foreign citizenship,24386
2022,DANISH_CITIZENSHIP,Danish citizenship,-718
2022,FOREIGN_CITIZENSHIP,Foreign citizenship,58974
2023,DANISH_CITIZENSHIP,Danish citizenship,1151
2023,FOREIGN_CITIZENSHIP,Foreign citizenship,29021
2024,DANISH_CITIZENSHIP,Danish citizenship,1621
2024,FOREIGN_CITIZENSHIP,Foreign citizenship,30636
2025,DANISH_CITIZENSHIP,Danish citizenship,1283
2025,FOREIGN_CITIZENSHIP,Foreign citizenship,30408
